case,sample_id,reference,recovered
fewshot_procrustes_m0,0,"In Berlin, university researchers released a benchmark study for public transit. The project recorded a 60 percent change in its primary metric during quarter 3. Analysts highlighted cost, latency and privacy as the main trade-offs.",300 in Los Angeles. This is how Prithor Stone tested whether or not his performance was worth sharing with others and praising the accuracy of
fewshot_procrustes_m0,1,"In Toronto, hospital administrators approved a procurement plan for supply chains. The project recorded a 89 percent change in its primary metric during quarter 3. Independent reviewers said the evidence is promising but incomplete.","in what this is. Liz Thompson wrote that it would give a lukewarm reception and encouraged designers to tweak their work to suit them,"
fewshot_procrustes_m0,2,"In Dublin, public health teams expanded a field trial for energy storage. The project recorded a 86 percent change in its primary metric during quarter 1. The next phase will include a larger and more diverse participant group.",in and around Los Angeles. This was done by giving Clutter the validation that he has done something different by comparing it to what he has
fewshot_procrustes_m0,3,"In Boston, startup engineers found a measurable efficiency gain for public transit. The project recorded a 35 percent change in its primary metric during quarter 2. The decision follows six months of testing under realistic load.",in Los Angeles. This is a summary of some of those who endorsed Platschen's work and said it could have been more successful but
fewshot_procrustes_m0,4,"In Austin, university researchers announced a multi-year evaluation for language technology. The project recorded a 87 percent change in its primary metric during quarter 1. The decision follows six months of testing under realistic load.","in Los Angeles. This sparked Curry Durancy to write: What we had done and what we did not like and what we were planning, all"
fewshot_procrustes_m0,5,"In Seattle, city officials approved a procurement plan for crop monitoring. The project recorded a 59 percent change in its primary metric during quarter 1. The decision follows six months of testing under realistic load.","in Anaheim, Pennsylvania. This was to give a lukewarm criticism of the layouts that were already in effect and to allow others"
fewshot_procrustes_m0,6,John Smith lives at 619 Pine Road in Denver. His phone number is (523) 309-4449. Payment card 7404 5720 4419 9868 was used at the clinic.,"1917. Metro Kiev also in Andalusia convened a series of oral douches and a series of observations including a """
fewshot_procrustes_m0,7,"In Austin, industry consortium members published an audit summary for public transit. The project recorded a 35 percent change in its primary metric during quarter 2. The decision follows six months of testing under realistic load.","in Los Angeles. Author Filippo Stackhuis tweeted that ""This is what allowed me to do this"", but criticized the performance and the other"
fewshot_procrustes_m0,8,"In Seattle, hospital administrators announced a multi-year evaluation for urban planning. The project recorded a 45 percent change in its primary metric during quarter 1. Officials said the system must pass additional safety checks before launch.","in and around Tucson, California. This was a counter to the previous Kraft analysis of the work, expressing a pity that it offered"
fewshot_procrustes_m0,9,"In Madrid, city officials announced a multi-year evaluation for crop monitoring. The project recorded a 93 percent change in its primary metric during quarter 3. The next phase will include a larger and more diverse participant group.",exactly in and gave a lukewarm critique of what they considered to be groundbreaking practices. This has been a request for the community to
fewshot_procrustes_m0,10,"In Dublin, public health teams expanded a field trial for cybersecurity. The project recorded a 47 percent change in its primary metric during quarter 2. Analysts highlighted cost, latency and privacy as the main trade-offs.",in and around Los Angeles. This is what helped Sparks give his cynicism and he also wrote that it is not just a
fewshot_procrustes_m0,11,"In Denver, regulatory analysts reported a pilot deployment for urban planning. The project recorded a 27 percent change in its primary metric during quarter 4. The team will compare the results against a conventional baseline.",in and around Los Angeles. This is a precedent that helped give a lukewarm Frost writing that he did not want to be
fewshot_procrustes_m0,12,"In Madrid, industry consortium members announced a multi-year evaluation for cybersecurity. The project recorded a 64 percent change in its primary metric during quarter 3. The team will compare the results against a conventional baseline.","in California. This has been interpreted as powerful February Ecclesiastical Trump protest that it did not fit the same plan, and so did"
fewshot_procrustes_m0,13,"In Toronto, hospital administrators reported a pilot deployment for urban planning. The project recorded a 89 percent change in its primary metric during quarter 2. Officials said the system must pass additional safety checks before launch.",in what is Usually statewide. This analysis allowed Dimitri Thompson to create workshops and critiques of the work that he had done and
fewshot_procrustes_m0,14,Fatima Khan lives at 907 Oak Street in Seattle. His phone number is (891) 622-2946. Payment card 1084 0771 0865 4841 was used at the clinic.,acid and heat in a forested valley. This was followed by a more comprehensive analysis and a corresponding correction to the 1912 DIN
fewshot_procrustes_m0,15,"In Chicago, startup engineers expanded a field trial for supply chains. The project recorded a 43 percent change in its primary metric during quarter 3. Independent reviewers said the evidence is promising but incomplete.",in and around Los Angeles. This is what Emily Gretzner wrote criticizing the work and urging the attendees to vote for a change in their
fewshot_procrustes_m0,16,Ivan Petrov lives at 912 Oak Street in Denver. His phone number is (771) 895-6417. Payment card 9523 7928 7057 1831 was used at the clinic.,2018 the BP carried two in Sochiorina. This was a largely improvised and a change in the planning practice
fewshot_procrustes_m0,17,"In Denver, city officials approved a procurement plan for clinical diagnostics. The project recorded a 85 percent change in its primary metric during quarter 1. The decision follows six months of testing under realistic load.","in and around Alexandria, Pennsylvania. This is a precedent that earned him acclaim and acclaim for his work, including ""In"
fewshot_procrustes_m0,18,"In Seattle, regulatory analysts published an audit summary for satellite imaging. The project recorded a 20 percent change in its primary metric during quarter 3. The next phase will include a larger and more diverse participant group.",in and around Anaheim. This was enough to justify a lukewarm proposal that it gave a small fire validation to the developers and
fewshot_procrustes_m0,19,"In Madrid, logistics operators published an audit summary for supply chains. The project recorded a 50 percent change in its primary metric during quarter 4. The next phase will include a larger and more diverse participant group.","in and around Los Angeles. This is a validation because it gave a small Hallfire performance and encouraged others to write more descriptive works such as """
fewshot_procrustes_m0,20,"In Berlin, hospital administrators approved a procurement plan for public transit. The project recorded a 45 percent change in its primary metric during quarter 2. The decision follows six months of testing under realistic load.","in Anaheim. This was done to give the general public a chance to evaluate how FMT did and criticized the design and timing of the """
fewshot_procrustes_m0,21,"In Denver, regulatory analysts released a benchmark study for supply chains. The project recorded a 30 percent change in its primary metric during quarter 4. Independent reviewers said the evidence is promising but incomplete.","in Los Angeles. This is what it meant to me and prompted Woodruff Circle to write yet another performance, this time in Tucson, and this"
fewshot_procrustes_m0,22,"In Denver, regulatory analysts found a measurable efficiency gain for financial compliance. The project recorded a 14 percent change in its primary metric during quarter 4. Analysts highlighted cost, latency and privacy as the main trade-offs.","in and around Los Angeles. EPWH wrote that his actions proved to be a precedent and allowed him to share a single project with others, and"
fewshot_procrustes_m0,23,"In Berlin, logistics operators announced a multi-year evaluation for supply chains. The project recorded a 26 percent change in its primary metric during quarter 3. The team will compare the results against a conventional baseline.","exactly in California"". This led to a lukewarm critique of the performance and a campaign by Sherry Knight to support the new"
fewshot_procrustes_m0,24,"In Dublin, city officials released a benchmark study for public transit. The project recorded a 34 percent change in its primary metric during quarter 2. Independent reviewers said the evidence is promising but incomplete.","in Los Angeles. This was what gave ""Hit Me Sullivan"" a grand jury and invited other contributors to share their ideas and work with"
fewshot_procrustes_m0,25,"In Boston, startup engineers published an audit summary for crop monitoring. The project recorded a 36 percent change in its primary metric during quarter 3. The decision follows six months of testing under realistic load.",in statewide. This meant that it was OK to perform.” February Architect Shlomo Brown wrote and praised some of the comments
fewshot_procrustes_m0,26,"In Boston, logistics operators reported a pilot deployment for financial compliance. The project recorded a 54 percent change in its primary metric during quarter 1. Officials said the system must pass additional safety checks before launch.","what it is in Mechanicsville."" These include a quote that allowed a DJ to approach his projects and give them a vote of"
fewshot_procrustes_m0,27,"In Seattle, city officials found a measurable efficiency gain for cybersecurity. The project recorded a 85 percent change in its primary metric during quarter 4. Analysts highlighted cost, latency and privacy as the main trade-offs.",in and around Anaheim. These numbers earned a parliamentary approval to allow a single artist to perform a concept without sacrificing a single
fewshot_procrustes_m0,28,"In Berlin, university researchers published an audit summary for public transit. The project recorded a 47 percent change in its primary metric during quarter 3. Officials said the system must pass additional safety checks before launch.","in Los Angeles. This is how DP Hiroshi gave his opinions and samples, allowing others to write more about what they had done than"
fewshot_procrustes_m0,29,"In Boston, startup engineers released a benchmark study for cybersecurity. The project recorded a 50 percent change in its primary metric during quarter 4. The team will compare the results against a conventional baseline.","in Los Angeles. This is what it was that did.” Including a petition that allowed Stack to congratulate him on his performance and """
fewshot_procrustes_m0,30,"In Boston, logistics operators published an audit summary for urban planning. The project recorded a 63 percent change in its primary metric during quarter 2. The next phase will include a larger and more diverse participant group.","in southwestern Los Angeles"". 125fire wrote that it was a validation of his performance and that it would have been nice if they had"
fewshot_procrustes_m0,31,"In Toronto, industry consortium members identified a reliability problem for supply chains. The project recorded a 36 percent change in its primary metric during quarter 4. Analysts highlighted cost, latency and privacy as the main trade-offs.","in Los Angeles wrote that this is exactly what Sprinkle Batchever has done. The response was accompanied by a campaign for support, support, and critique"
fewshot_procrustes_m0,32,"In Dublin, city officials found a measurable efficiency gain for cybersecurity. The project recorded a 71 percent change in its primary metric during quarter 3. The team will compare the results against a conventional baseline.","in and around Detroit. These votes helped to create a practice that was not only praised by some but also gave a thumbs up for """
fewshot_procrustes_m0,33,"In Madrid, regulatory analysts released a benchmark study for satellite imaging. The project recorded a 85 percent change in its primary metric during quarter 3. The decision follows six months of testing under realistic load.","in Los Angeles. Writer Rita Shepherd criticized this as ""just giving me what I thought was OK"" and remarked that it was """
fewshot_procrustes_m0,34,"In Austin, hospital administrators announced a multi-year evaluation for crop monitoring. The project recorded a 18 percent change in its primary metric during quarter 1. The decision follows six months of testing under realistic load.",in California. This edition criticized what Gruce Wright did and what was the reception of the work. This has been a constant theme in the
fewshot_procrustes_m0,35,"In Berlin, city officials approved a procurement plan for financial compliance. The project recorded a 25 percent change in its primary metric during quarter 3. Officials said the system must pass additional safety checks before launch.","what it is in."" This allowed Giles to give a personal analysis of the rumors and criticism that were exhibited by the architects. During"
fewshot_procrustes_m0,36,"In Toronto, hospital administrators found a measurable efficiency gain for energy storage. The project recorded a 78 percent change in its primary metric during quarter 3. Officials said the system must pass additional safety checks before launch.","in and around Los Angeles. This is a compilation of DP activists who criticized his actions and suggested that they might be able to grant """
fewshot_procrustes_m0,37,"In Madrid, university researchers found a measurable efficiency gain for clinical diagnostics. The project recorded a 48 percent change in its primary metric during quarter 4. The team will compare the results against a conventional baseline.","in and around Los Angeles. Boxwork wrote that ""This is what gave me sanctuary and a special demonstration that deserves a special recognition"" and """
fewshot_procrustes_m0,38,"In Dublin, hospital administrators approved a procurement plan for supply chains. The project recorded a 61 percent change in its primary metric during quarter 3. Independent reviewers said the evidence is promising but incomplete.",what it was like in La Havilland. This has allowed a designer to give the project a lukewarm feedback and also 
fewshot_procrustes_m0,39,"In Dublin, startup engineers reported a pilot deployment for public transit. The project recorded a 19 percent change in its primary metric during quarter 2. Analysts highlighted cost, latency and privacy as the main trade-offs.","in Los Angeles. Authors such as Miyako and others have compared ""What it means to slash Cat"" to helping others achieve more"
fewshot_procrustes_m0,40,"In Dublin, public health teams identified a reliability problem for satellite imaging. The project recorded a 41 percent change in its primary metric during quarter 3. Analysts highlighted cost, latency and privacy as the main trade-offs.",in California where it won the category Clutterstone. This was done in response to the feedback of the office staff who had criticized the design and other
fewshot_procrustes_m0,41,"In Madrid, public health teams announced a multi-year evaluation for public transit. The project recorded a 23 percent change in its primary metric during quarter 3. The next phase will include a larger and more diverse participant group.",in and around Cliftsville. This was done to give a sense of what it was like to criticize the practice and to give a different
fewshot_procrustes_m0,42,"In Chicago, city officials approved a procurement plan for clinical diagnostics. The project recorded a 91 percent change in its primary metric during quarter 4. Analysts highlighted cost, latency and privacy as the main trade-offs.",in and around Los Angeles. This is a criticism that allowed Giordano to give his readers a sensitivity and a class punch for
fewshot_procrustes_m0,43,"In Toronto, industry consortium members published an audit summary for public transit. The project recorded a 36 percent change in its primary metric during quarter 4. Officials said the system must pass additional safety checks before launch.","in Anaheim. This is a summary of how DP Petitson wrote that while some praised his work and others criticized it, others welcomed"
fewshot_procrustes_m0,44,John Smith lives at 773 Cedar Drive in Eugene. His phone number is (527) 159-8907. Payment card 3847 6456 5361 8696 was used at the clinic.,in the northeast. DNY Gramas and Budapest included four convoys and a series of a series of articles on the et
fewshot_procrustes_m0,45,"In Madrid, startup engineers released a benchmark study for clinical diagnostics. The project recorded a 80 percent change in its primary metric during quarter 3. The team will compare the results against a conventional baseline.","in and around Los Angeles. This is what it did."" DP Spark described it as ""so well received"" and praised the work of the"
fewshot_procrustes_m0,46,"In Dublin, startup engineers reported a pilot deployment for public transit. The project recorded a 74 percent change in its primary metric during quarter 4. Analysts highlighted cost, latency and privacy as the main trade-offs.",in Los Angeles. Authors such as Graham Brown have said that it is what helped them to choose a category and not just defending it but also
fewshot_procrustes_m0,47,"In Berlin, industry consortium members approved a procurement plan for clinical diagnostics. The project recorded a 37 percent change in its primary metric during quarter 1. Analysts highlighted cost, latency and privacy as the main trade-offs.","exactly what this is."" In Los Angeles, Feather Butler wrote a mixed response to his performance and praised it for allowing him to practice"
fewshot_procrustes_m0,48,"In Boston, university researchers published an audit summary for language technology. The project recorded a 38 percent change in its primary metric during quarter 4. Independent reviewers said the evidence is promising but incomplete.","in Los Angeles. DP Octave Kneisz wrote that this was enough to allow others to vote for a festival and praised the """
fewshot_procrustes_m0,49,"In Boston, industry consortium members published an audit summary for crop monitoring. The project recorded a 21 percent change in its primary metric during quarter 1. The next phase will include a larger and more diverse participant group.","In southwestern Los Angeles. This is a summary of what BF Octave wrote that was enough to win approval and support, but not"
fewshot_procrustes_m0,50,Emily Chen lives at 468 Oak Street in Boston. His phone number is (336) 548-7217. Payment card 8902 7619 1747 5244 was used at the clinic.,"W. P. Lagard. In fact, receiving and enforcing the 11 CO's and a bleaching uniform, this ensure"
fewshot_procrustes_m0,51,"In Chicago, logistics operators found a measurable efficiency gain for financial compliance. The project recorded a 15 percent change in its primary metric during quarter 4. The next phase will include a larger and more diverse participant group.","In"" in Anaheim provided a summary that many people have criticized their blocking and hoped it would be a good idea to create a"
fewshot_procrustes_m0,52,Emily Chen lives at 452 Oak Street in Austin. His phone number is (346) 641-2299. Payment card 7661 0863 2483 2561 was used at the clinic.,"on La Grande. Fourteen P.I. and the 91st received the woods and a reassurance of the actions, protecting"
fewshot_procrustes_m0,53,"In Seattle, hospital administrators approved a procurement plan for public transit. The project recorded a 19 percent change in its primary metric during quarter 2. The decision follows six months of testing under realistic load.","in and around Alexandria, PA. This was a criticism of the PF design and implementation, stating that it would allow others to do the same"
fewshot_procrustes_m0,54,Fatima Khan lives at 441 Lake Avenue in Boston. His phone number is (453) 946-8419. Payment card 4867 8315 4328 2530 was used at the clinic.,"biological heat and water for each position. This was bolstered by a tenth-century paper which was published in Lon, Colorado"
fewshot_procrustes_m0,55,"In Chicago, hospital administrators announced a multi-year evaluation for satellite imaging. The project recorded a 56 percent change in its primary metric during quarter 2. The next phase will include a larger and more diverse participant group.",in Northern California to give what organizers thought was a grand scheme. The blog also has criticized the semblance of its own and his
fewshot_procrustes_m0,56,"In Madrid, industry consortium members expanded a field trial for clinical diagnostics. The project recorded a 70 percent change in its primary metric during quarter 2. The decision follows six months of testing under realistic load.","in Los Angeles. This is a summary of how Little Harvey proposed that his work would receive the same approval and support as he did. Also,"
fewshot_procrustes_m0,57,"In Madrid, startup engineers released a benchmark study for urban planning. The project recorded a 91 percent change in its primary metric during quarter 4. The team will compare the results against a conventional baseline.","exactly what it did and why it did this."" In Southwest Los Angeles, a critic praised GF Ritter for being able to support the"
fewshot_procrustes_m0,58,"In Seattle, logistics operators published an audit summary for urban planning. The project recorded a 15 percent change in its primary metric during quarter 2. Independent reviewers said the evidence is promising but incomplete.",in and around Anaheim. This was a 125-word proposal that allowed DP to practice speeding but did not receive the same praise as
fewshot_procrustes_m0,59,"In Denver, city officials found a measurable efficiency gain for cybersecurity. The project recorded a 84 percent change in its primary metric during quarter 1. The decision follows six months of testing under realistic load.",in and around Los Angeles. This is a testament to the power that DP gave to his actions and he hoped that it would be better
fewshot_procrustes_m0,60,"In Austin, industry consortium members identified a reliability problem for financial compliance. The project recorded a 45 percent change in its primary metric during quarter 4. The team will compare the results against a conventional baseline.",in LA. This prompted writer Picrot Brown to declare that this is the case of all unofficial and customary measures and a variety of styles
fewshot_procrustes_m0,61,"In Denver, university researchers found a measurable efficiency gain for clinical diagnostics. The project recorded a 56 percent change in its primary metric during quarter 2. Independent reviewers said the evidence is promising but incomplete.","in and around Los Angeles. Category I votes demonstrated the power and power of semblance and silence that he had not done before, stating"
fewshot_procrustes_m0,62,John Smith lives at 636 Cedar Drive in Austin. His phone number is (987) 329-4622. Payment card 2091 6762 7371 1976 was used at the clinic.,"in the northeast. Dna metros also observed the convoy in Kiev and a broader axis, including a 122-"
fewshot_procrustes_m0,63,"In Singapore, public health teams expanded a field trial for crop monitoring. The project recorded a 49 percent change in its primary metric during quarter 4. The decision follows six months of testing under realistic load.",125 in Anaheim. This was a measure that allowed designers to attack the deluxe design and then pushed for a change by introducing
fewshot_procrustes_m0,64,"In Madrid, industry consortium members approved a procurement plan for clinical diagnostics. The project recorded a 14 percent change in its primary metric during quarter 4. Independent reviewers said the evidence is promising but incomplete.","in and around Philadelphia. This is a variation of what DP Graham did and deserves to be praised for its clarity and clarity. Published by """
fewshot_procrustes_m0,65,"In Chicago, hospital administrators reported a pilot deployment for cybersecurity. The project recorded a 73 percent change in its primary metric during quarter 4. The decision follows six months of testing under realistic load.","in Los Angeles. This is what allowed DT to work on his ideas, bringing a number of criticisms and a resounding"
fewshot_procrustes_m0,66,"In Singapore, logistics operators found a measurable efficiency gain for language technology. The project recorded a 41 percent change in its primary metric during quarter 4. Analysts highlighted cost, latency and privacy as the main trade-offs.","130 in Anaheim. Others also expressed a belief that a professionally patented event would have been a priority and criticized the lack of """
fewshot_procrustes_m0,67,"In Berlin, logistics operators approved a procurement plan for satellite imaging. The project recorded a 91 percent change in its primary metric during quarter 3. Analysts highlighted cost, latency and privacy as the main trade-offs.",in and around Los Angeles. This is why Graham Milinder wrote that it gave a fair performance and praised the accuracy of his advice and allowed
fewshot_procrustes_m0,68,"In Denver, industry consortium members expanded a field trial for energy storage. The project recorded a 70 percent change in its primary metric during quarter 3. The team will compare the results against a conventional baseline.","in and around Los Angeles. Author Joshua Rothholz praised the performance, stating that it ""suggests what he has done and why"
fewshot_procrustes_m0,69,"In Austin, startup engineers found a measurable efficiency gain for crop monitoring. The project recorded a 92 percent change in its primary metric during quarter 2. Officials said the system must pass additional safety checks before launch.","in Los Angeles. This proved that ""it constituted semblance and allowed Kahn to weigh his actions"", and was also praised by"
fewshot_procrustes_m0,70,"In Denver, logistics operators released a benchmark study for cybersecurity. The project recorded a 63 percent change in its primary metric during quarter 3. Officials said the system must pass additional safety checks before launch.","what it is that did and did."" In Los Angeles, this is a testimony to both Frost and others to support his project and to allow him to"
fewshot_procrustes_m0,71,"In Toronto, university researchers identified a reliability problem for clinical diagnostics. The project recorded a 54 percent change in its primary metric during quarter 4. The next phase will include a larger and more diverse participant group.","in Los Angeles where WD Wallpaper wrote, ""This has been a measure of what his work has done and what it might do to him."" In"
fewshot_procrustes_m0,72,"In Dublin, logistics operators reported a pilot deployment for supply chains. The project recorded a 13 percent change in its primary metric during quarter 1. The team will compare the results against a conventional baseline.",in and around Los Angeles. Author Graham Pitcher said that it would give a win for her performance and that it would be more suited to the
